name|ra|dec|vmag|class|bii|bv_color|lii|radvel
HR 1130|03 44 40.90|+46 05 58.9|6.11|STAR A7IV|-6.92010|0.28|151.56100|9
HR 1131|03 44 19.10|+32 17 17.9|3.83|STAR B1III|-17.73980|0.05|160.36400|19
HR 1132|03 43 47.21|+19 39 54.0|6.14|STAR G8III|-27.29770|1.01|169.30800|78
HR 1133|03 44 31.39|+36 27 36.0|5.59|STAR A2|-14.48960|0.06|157.64100|22
HR 1134|03 42 14.90|-31 56 17.9|5.00|STAR B5IV|-52.77310|-0.16|230.88200|26
HR 1135|03 45 11.59|+42 34 43.0|3.77|STAR F5II|-9.63260|0.42|153.83200|-13
HR 1136|03 43 14.90|-09 45 47.9|3.54|STAR K0IV|-45.99580|0.92|198.08700|-6
HR 1137|03 44 28.10|+20 55 43.0|6.10|STAR A0V|-26.26470|0.01|168.47300|15
HR 1138|03 49 13.80|+70 52 16.0|5.44|STAR A2|12.86220|0.09|136.54600|17
HR 1139|03 43 33.79|-10 29 08.2|5.60|STAR A5|-46.27640|0.22|199.05400|16
HR 114|00 30 07.30|+29 45 06.1|5.23|STAR A7III|-32.89190|0.24|117.42200|-10
HR 1140|03 44 48.19|+24 17 21.8|5.46|STAR B7IV|-23.72850|-0.04|166.03800|3
HR 1141|03 45 59.30|+45 40 54.8|5.66|STAR B6V|-7.10860|-0.07|152.00100|2
HR 1142|03 44 52.51|+24 06 47.9|3.70|STAR B6III|-23.84870|-0.11|166.18000|12
HR 1143|03 42 50.11|-37 18 49.0|4.59|STAR K2III|-52.68850|1.20|239.76500|10
HR 1144|03 45 09.70|+24 50 21.1|5.64|STAR B8V|-23.26440|-0.07|165.70500|-2
HR 1145|03 45 12.50|+24 28 01.9|4.30|STAR B6IV|-23.53460|-0.11|165.98400|6
HR 1146|03 44 30.50|-01 09 47.2|5.25|STAR B7V|-41.08480|-0.10|188.32100|27
HR 1147|03 47 32.21|+55 55 21.0|6.10|STAR B9V|1.09550|-0.03|145.85400|-16
HR 1148|03 50 21.50|+71 19 55.9|4.63|STAR A2IV|13.27460|0.03|136.31400|-1
HR 1149|03 45 49.61|+24 22 04.1|3.87|STAR B8III|-23.51440|-0.07|166.17100|8
HR 115|00 29 51.89|-14 51 51.1|6.14|STAR F2III|-76.74790|0.37|99.58490|3
HR 1150|03 44 56.50|-00 17 48.1|5.55|STAR K4III|-40.48520|1.42|187.48300|71
HR 1151|03 45 54.41|+24 33 16.9|5.76|STAR B8V|-23.36330|-0.04|166.04900|9
HR 1152|03 46 02.90|+24 31 41.2|6.43|STAR A0V|-23.36160|-0.02|166.09500|0
HR 1153|03 45 40.39|+06 03 00.0|5.35|STAR B3V|-36.39100|-0.12|181.28200|17
HR 1154|03 36 30.00|-78 19 23.2|6.29|STAR K2III|-35.58710|1.15|293.48400|3
HR 1155|03 49 31.20|+65 31 34.0|4.47|STAR M2II|8.75040|1.88|140.02300|-3
HR 1156|03 46 19.61|+23 56 53.9|4.18|STAR B6IV|-23.74910|-0.06|166.57000|6
HR 1157|03 44 06.19|-40 39 37.1|6.45|STAR K1III|-52.14140|1.06|245.19500|19
HR 1158|03 49 36.70|+63 17 49.9|5.85|STAR A5V|7.02600|0.18|141.44900|-14
HR 1159|03 46 09.50|+06 48 11.2|5.91|STAR G9III|-35.81000|0.99|180.67100|-26
HR 116|00 29 48.91|-32 07 00.1|6.57|STAR K4III|-83.14900|1.34|344.91400|1
HR 1160|03 48 18.29|+50 44 12.1|6.14|STAR B8V|-2.90310|0.06|149.15900|-24
HR 1161|03 49 19.61|+57 07 05.2|6.46|STAR A0V|2.18570|0.06|145.30400|-2
HR 1162|03 46 08.50|-12 06 06.1|4.42|STAR M2III|-46.46730|1.63|201.55400|46
HR 1163|03 47 52.61|+33 36 00.0|6.57|STAR B2V|-16.25510|0.08|160.08000|20
HR 1164|03 47 48.91|+32 11 42.0|6.25|STAR G0|-17.33480|0.47|161.02000|-4
HR 1165|03 47 29.11|+24 06 18.0|2.87|STAR B7III|-23.45520|-0.09|166.66900|10
HR 1166|03 51 41.81|+68 30 27.0|6.32|STAR B9IV|11.18460|-0.08|138.26200|-4
HR 1167|03 44 50.59|-48 03 41.0|6.49|STAR G8III|-50.50750|1.02|256.76200|4
HR 1168|03 44 33.79|-54 16 26.0|6.30|STAR K1III|-48.46020|1.04|265.79900|33
HR 1169|03 45 15.79|-47 21 34.9|5.73|STAR K1III|-50.62890|0.96|255.66800|-3
HR 117|00 30 02.40|-03 57 25.9|5.72|STAR M0III|-66.27220|1.56|109.56800|5
HR 1170|03 49 08.21|+43 57 47.2|6.02|STAR A9IV|-8.10320|0.29|153.52300|-15
HR 1171|03 46 27.41|-29 20 17.2|5.90|STAR A3V|-51.61080|0.12|226.80900|-13
HR 1172|03 48 20.90|+23 25 16.0|5.45|STAR B8V|-23.82530|-0.07|167.33200|4
HR 1173|03 46 50.90|-23 14 58.9|4.23|STAR F3III|-50.32410|0.42|217.35100|7
HR 1174|03 48 16.30|+11 08 35.9|5.07|STAR B3V|-32.53380|-0.13|177.17100|16
HR 1175|03 44 12.00|-64 48 24.8|3.85|STAR K2III|-43.53630|1.13|279.23600|51
HR 1176|03 50 04.49|+44 58 04.1|5.66|STAR G2III|-7.21740|0.76|153.01600|14
HR 1177|03 49 32.59|+33 05 29.0|5.11|STAR A3V|-16.41690|0.07|160.70000|-14
HR 1178|03 49 09.70|+24 03 11.9|3.63|STAR B8III|-23.23450|-0.09|167.01400|9
HR 1179|03 47 20.11|-29 54 06.8|6.55|STAR F8V|-51.49330|0.49|227.74800|4
HR 118|00 30 22.70|-23 47 16.1|5.19|STAR A5V|-84.19120|0.12|66.87240|0
HR 1180|03 49 11.21|+24 08 12.1|5.09|STAR B8V|-23.16940|-0.08|166.95700|4
HR 1181|03 47 39.60|-23 52 28.9|5.24|STAR A2|-50.30260|0.07|218.37200|29
HR 1182|03 48 38.90|+00 13 40.1|5.91|STAR K3III|-39.42820|1.23|187.65100|66
HR 1183|03 49 43.51|+23 42 42.1|6.17|STAR B8V|-23.39780|-0.05|167.36900|9
HR 1184|03 47 55.99|-30 10 04.1|5.54|STAR G6III|-51.39650|0.98|228.19600|53
HR 1185|03 49 55.01|+22 14 39.8|6.07|STAR B8III|-24.43850|-0.01|168.50200|-3
HR 1186|03 47 49.61|-36 06 20.9|6.21|STAR B8V|-51.72920|-0.10|237.74000|11
HR 1187|03 48 35.81|-20 54 11.2|5.81|STAR K5III|-49.27330|1.64|214.04000|3
HR 1188|03 50 18.91|+25 34 45.8|5.26|STAR A2V|-21.93360|0.21|166.10400|4
HR 1189|03 48 35.40|-37 37 19.9|5.40|STAR A1V|-51.53270|0.01|240.17500|16
HR 119|00 30 27.79|-40 56 21.8|6.19|STAR F2III|-75.52890|0.33|318.97000|-5
HR 1190|03 48 35.90|-37 37 14.2|4.73|STAR B9V|-51.53110|-0.03|240.17200|16
HR 1191|03 51 53.71|+34 21 33.1|5.77|STAR B1V|-15.13680|0.00|160.22700|18
HR 1192|03 53 43.30|+57 58 30.0|5.80|STAR A5|3.22250|0.18|145.22200|-5
HR 1193|03 51 36.60|+22 01 54.1|6.83|STAR K0III|-24.32260||168.97500|63
HR 1194|03 51 15.79|+13 02 44.9|6.30|STAR B9|-30.70450|-0.07|176.11600|16
HR 1195|03 49 27.31|-36 12 01.1|4.17|STAR G9II|-51.39940|0.95|237.88600|2
HR 1196|03 56 30.19|+71 49 18.1|6.34|STAR A5|13.96230|0.30|136.36300|-2
HR 1197|03 52 04.30|+31 10 05.9|6.25|STAR A5V|-17.51690|0.20|162.44200|-38
HR 1198|03 53 38.71|+48 39 02.2|5.76|STAR K0III|-3.98120|1.05|151.14600|8
HR 1199|03 52 00.19|+06 32 04.9|5.67|STAR B5V|-34.87510|0.06|182.07100|16
HR 12|00 07 46.80|-22 30 32.0|5.94|STAR A2V|-79.07590|0.14|55.56070|-13
HR 120|00 30 26.09|-48 12 54.0|5.69|STAR F2V|-68.52040|0.35|312.51800|2
HR 1200|03 50 37.61|-36 25 31.1|6.86|STAR B9V|-51.16070|-0.04|238.24100|6
HR 1201|03 53 10.01|+17 19 36.8|5.97|STAR F4V|-27.41330|0.34|172.93900|35
HR 1202|03 52 41.59|-05 21 41.0|5.48|STAR B8V|-41.73810|-0.10|194.48600|15
HR 1203|03 54 07.90|+31 53 01.0|2.85|STAR B1I|-16.69040|0.12|162.28900|20
HR 1204|03 57 25.51|+63 04 19.9|5.03|STAR B9V|7.41710|-0.09|142.27700|5
HR 1205|03 57 08.30|+61 06 32.0|5.00|STAR K3I|5.90260|1.45|143.53500|-2
HR 1206|03 53 13.01|-18 26 03.8|6.22|STAR|-47.43940|0.88|211.06200|20
HR 1207|03 55 58.20|+47 52 17.0|5.37|STAR B6V|-4.33200|-0.08|151.94400|5
HR 1208|03 47 14.30|-74 14 20.0|3.24|STAR M2III|-37.79810|1.62|289.12900|16
HR 1209|03 55 22.99|+31 02 44.9|6.10|STAR O9|-17.13630|0.29|163.08100|15
HR 121|00 31 25.30|+66 31 09.8|6.18|STAR B6V|3.72540|-0.10|120.93600|-10
HR 1210|03 56 36.50|+50 41 43.1|5.28|STAR F5IV|-2.10360|0.41|150.20400|27
HR 1211|03 54 17.40|-02 57 10.1|6.14|STAR A2V|-40.09820|0.09|192.09300|18
HR 1212|03 54 17.50|-02 57 16.9|4.79|STAR G8III|-40.09900|0.94|192.09500|27
HR 1213|03 53 42.60|-24 36 45.0|4.65|STAR B6V|-49.14320|-0.13|219.99600|23
HR 1214|03 53 38.90|-34 43 55.9|5.11|STAR B6V|-50.53090|-0.13|235.56800|21
HR 1215|03 56 28.70|+35 04 52.0|5.49|STAR B1V|-13.97350|-0.03|160.46900|17
HR 1216|03 53 33.29|-46 53 37.0|5.93|STAR K2III|-49.37280|1.24|254.43500|-1
HR 1217|03 55 16.30|-12 05 57.1|6.00|STAR A5|-44.46990|0.32|202.97400|22
HR 1218|03 56 52.10|+22 28 41.2|5.63|STAR F2IV|-23.15550|0.30|169.59000|32
HR 1219|03 54 23.21|-40 21 25.9|5.71|STAR K0III|-50.22970|0.60|244.38500|2
HR 122|00 31 25.61|+33 34 54.1|5.87|STAR K1III|-29.10460|1.14|118.16200|9
HR 1220|03 57 51.19|+40 00 37.1|2.89|STAR B0V|-10.08840|-0.18|157.35400|1
HR 1221|03 57 03.79|+23 10 32.2|6.06|STAR B9IV|-22.62550|0.02|169.09500|25
HR 1222|03 57 26.40|+24 27 42.8|6.16|STAR K0|-21.64230|1.37|168.19500|-13
HR 1223|03 58 03.10|+34 48 51.8|6.53|STAR A8V|-13.95840|0.23|160.89900|-2
HR 1224|03 57 01.70|+06 02 24.0|6.09|STAR A2V|-34.22140|0.06|183.49600|8
HR 1225|03 56 37.90|-09 45 02.9|6.19|STAR F1V|-43.09720|0.28|200.29400|14
HR 1226|03 58 29.11|+38 50 25.1|6.30|STAR|-10.88860|1.08|158.23100|22
HR 1227|03 54 34.01|-52 41 26.2|6.46|STAR A4V|-47.63560|0.16|262.79100|21
HR 1228|03 58 57.89|+35 47 28.0|4.04|STAR O7III|-13.10640|0.01|160.37200|70
HR 1229|03 59 40.01|+38 49 14.2|6.38|STAR A1V|-10.75110|0.10|158.42000|-2
HR 123|00 31 46.39|+54 31 19.9|4.73|STAR B8V|-8.23940|-0.10|120.05100|-12
HR 1230|04 10 02.81|+80 41 55.0|5.10|STAR G8III|20.90750|0.56|130.50900|4
HR 1231|03 58 01.80|-13 30 31.0|2.95|STAR M0III|-44.47270|1.59|205.16200|62
HR 1232|03 58 52.30|-05 28 12.0|5.83|STAR G9V|-40.48670|1.00|195.68100|36
HR 1233|03 59 40.70|+10 19 50.9|6.37|STAR F5V|-30.97640|0.42|180.07200|40
HR 1234|04 01 14.69|+36 59 24.0|6.41|STAR A0V|-11.90810|-0.01|159.90100|-20
HR 1235|03 59 30.10|-12 34 27.1|5.60|STAR K5III|-43.74930|1.48|204.19900|-5
HR 1236|03 56 04.01|-63 27 49.0|6.14|STAR K1III|-43.10730|1.10|276.74100|0
HR 1237|04 00 36.91|+17 17 48.1|6.32|STAR A0V|-26.15170|0.06|174.34200|29
HR 1238|04 00 48.79|+18 11 38.0|5.89|STAR F4V|-25.50120|0.32|173.65400|25
HR 1239|04 00 40.80|+12 29 25.1|3.47|STAR B3V|-29.37570|-0.12|178.37200|18
HR 124|00 31 41.21|+52 50 21.8|5.60|STAR K2III|-9.91620|1.15|119.90600|-52
HR 1240|03 59 55.51|-24 00 59.0|4.66|STAR B6V|-47.62450|-0.13|219.64700|24
HR 1241|04 06 03.10|+68 40 48.0|5.87|STAR K2III|12.18210|1.54|139.14600|-47
